transaction_id,amount,merchant_category,hour_of_day,day_of_week,is_online,device_type,card_present,pin_used,distance_from_home,is_foreign,merchant_trust,card_age_days,account_age_months,avg_transaction_amount,transactions_last_24h,transactions_last_week,amount_to_avg_ratio,daily_transaction_velocity,weekly_transaction_velocity,time_since_last_txn,previous_fraud_count,is_fraud
TXN00000011,15.01,Grocery,23,1,0,In-Person,1,0,6.19,0,6,1784,31,134.64,0,17,0.111,0.0,2.429,16.15,0,0
TXN00000012,8.05,Entertainment,20,5,0,In-Person,1,0,24.16,0,7,1444,69,61.99,1,10,0.128,1.0,1.429,7.86,0,0
TXN00000013,106.35,Retail,3,5,1,Mobile,0,0,31.61,0,6,819,37,67.6,3,14,1.55,3.0,2.0,10.89,0,0
TXN00000014,1811.05,Retail,7,1,0,Desktop,0,1,19.9,0,5,1814,20,8.04,2,16,200.361,2.0,2.286,11.61,0,0
TXN00000015,108.48,Travel,23,6,1,Mobile,0,0,4.63,0,8,1126,99,14.67,2,18,6.923,2.0,2.571,3.99,0,0
TXN00000016,29.4,Restaurant,2,1,0,Mobile,0,0,11.85,0,6,2221,38,6.47,0,16,3.938,0.0,2.286,5.79,0,0
TXN00000017,20.47,Gas Station,21,3,0,In-Person,1,1,4.63,0,7,2319,70,18.21,2,16,1.066,2.0,2.286,14.37,0,0
TXN00000018,14.48,Grocery,20,0,0,Mobile,0,1,4.31,1,7,3136,1,24.45,3,12,0.569,3.0,1.714,0.47,0,0
TXN00000019,39.47,Grocery,1,3,0,In-Person,1,0,23.96,0,7,1748,91,32.82,1,19,1.167,1.0,2.714,34.48,0,0
TXN00000020,203.85,Restaurant,23,1,1,Desktop,0,0,10.59,0,8,101,100,17.95,4,13,10.757,4.0,1.857,4.0,0,0
TXN00000021,65.31,Online,11,4,1,Desktop,0,0,7.02,0,6,3456,90,171.16,3,9,0.379,3.0,1.286,33.06,0,0
TXN00000022,41.56,Travel,5,5,1,In-Person,1,0,18.91,0,3,3412,5,60.12,2,17,0.68,2.0,2.429,78.76,0,0
TXN00000023,4.63,Restaurant,1,2,1,In-Person,1,1,24.55,0,9,1081,67,21.58,3,10,0.205,3.0,1.429,23.62,0,0
TXN00000024,7.81,Retail,20,0,1,Desktop,0,0,29.16,0,9,502,13,63.6,1,12,0.121,1.0,1.714,19.35,0,0
TXN00000025,11.12,Restaurant,0,0,0,Mobile,0,0,7.09,0,9,1980,58,78.16,1,11,0.141,1.0,1.571,4.01,0,0
TXN00000026,31.96,Grocery,11,5,0,In-Person,1,1,11.0,0,9,700,75,57.22,1,16,0.549,1.0,2.286,16.46,0,0
TXN00000027,47.47,Entertainment,21,2,0,In-Person,1,0,70.1,0,8,2830,50,59.66,3,20,0.783,3.0,2.857,0.04,2,0
TXN00000028,680.24,Retail,11,3,0,In-Person,1,1,51.45,0,6,163,42,123.7,2,11,5.455,2.0,1.571,7.64,0,0
TXN00000029,76.28,Grocery,16,2,0,Desktop,0,1,23.26,0,9,445,76,116.96,5,9,0.647,5.0,1.286,4.88,1,0
TXN00000030,29.89,Travel,9,4,0,Desktop,0,0,20.15,0,8,3366,46,44.68,3,17,0.654,3.0,2.429,25.81,0,0
TXN00000031,190.11,Online,15,1,0,Mobile,0,0,11.81,0,5,471,29,99.59,4,23,1.89,4.0,3.286,8.38,0,0
TXN00000032,229.7,Online,14,2,0,In-Person,1,0,10.56,0,7,3156,74,41.65,1,9,5.385,1.0,1.286,50.6,0,0
TXN00000033,65.65,Travel,14,6,0,Mobile,0,0,35.46,0,4,1442,64,132.68,2,18,0.491,2.0,2.571,0.08,0,0
TXN00000034,42.38,Online,18,2,0,In-Person,1,0,13.43,0,8,3005,5,44.45,4,10,0.932,4.0,1.429,5.02,0,0
TXN00000035,452.57,Online,11,1,1,Mobile,0,0,20.3,0,9,3536,18,45.23,0,19,9.789,0.0,2.714,9.67,1,0
TXN00000036,75.12,Restaurant,22,5,0,In-Person,1,0,23.74,0,5,315,43,79.27,1,16,0.936,1.0,2.286,10.81,0,0
TXN00000037,8.72,Entertainment,19,0,0,In-Person,1,0,6.98,0,7,258,15,102.87,2,10,0.084,2.0,1.429,2.98,1,0
TXN00000038,32.35,Restaurant,2,5,0,In-Person,1,1,8.43,0,7,465,10,144.92,4,21,0.222,4.0,3.0,8.25,0,0
TXN00000039,98.03,Grocery,4,6,0,Mobile,0,0,24.5,0,4,2601,21,80.42,1,13,1.204,1.0,1.857,1.75,0,1
TXN00000040,30.25,Entertainment,18,4,0,In-Person,1,0,6.26,0,4,2608,62,170.85,3,9,0.176,3.0,1.286,13.75,0,0
TXN00000041,123.95,Online,6,5,0,In-Person,1,0,17.58,0,9,2914,98,31.97,1,12,3.76,1.0,1.714,7.43,0,0
TXN00000042,6.01,Online,20,2,1,Tablet,0,0,4.97,0,10,2352,12,92.0,2,10,0.065,2.0,1.429,7.95,0,0
TXN00000043,202.08,Grocery,8,2,1,Desktop,0,1,34.23,0,8,1801,119,16.67,1,15,11.439,1.0,2.143,2.75,0,0
TXN00000044,30.26,Online,6,0,1,Tablet,0,1,32.32,0,4,3010,11,29.48,1,15,0.993,1.0,2.143,3.84,0,0
TXN00000045,23.31,Entertainment,17,4,1,In-Person,1,1,29.81,0,10,1366,71,10.68,2,14,1.995,2.0,2.0,3.08,0,0
TXN00000046,189.71,Retail,3,1,0,In-Person,1,1,13.28,0,6,1033,73,106.0,1,12,1.773,1.0,1.714,14.18,0,0
TXN00000047,50.38,Restaurant,13,1,1,In-Person,1,0,31.29,0,2,3567,67,130.27,2,9,0.384,2.0,1.286,1.05,0,0
TXN00000048,23.0,Retail,17,3,0,Mobile,0,1,9.05,0,1,160,102,41.1,2,14,0.546,2.0,2.0,13.19,0,0
TXN00000049,43.99,Gas Station,8,4,0,In-Person,1,0,24.94,0,6,958,86,58.1,2,16,0.744,2.0,2.286,10.35,0,0
TXN00000050,43.83,Grocery,20,4,0,Mobile,0,1,13.42,0,3,3447,37,48.53,0,19,0.885,0.0,2.714,19.02,1,1
TXN00000051,25.45,Retail,1,2,0,In-Person,1,0,1.22,0,5,2758,80,71.54,3,21,0.351,3.0,3.0,1.28,0,0
TXN00000052,89.02,Travel,19,3,0,Mobile,0,0,20.03,0,7,2944,105,64.9,3,23,1.351,3.0,3.286,7.83,0,0
TXN00000053,48.43,Entertainment,14,1,1,Mobile,0,1,4.18,0,3,160,72,225.9,2,14,0.213,2.0,2.0,15.09,0,0
TXN00000054,189.51,Online,6,6,0,Desktop,0,0,48.2,0,8,1628,30,96.44,2,17,1.945,2.0,2.429,9.47,1,0
TXN00000055,4.77,Travel,11,4,1,Desktop,0,0,35.67,0,8,3169,24,286.53,3,15,0.017,3.0,2.143,40.39,0,0
TXN00000056,59.27,Grocery,7,4,1,In-Person,1,0,15.23,0,8,3119,48,88.98,2,8,0.659,2.0,1.143,10.03,2,0
TXN00000057,407.02,Online,14,0,0,Mobile,0,0,0.78,0,7,2233,37,75.37,3,18,5.329,3.0,2.571,8.56,2,0
TXN00000058,24.69,Grocery,2,1,0,In-Person,1,0,13.99,0,2,148,46,59.0,3,16,0.412,3.0,2.286,40.65,0,0
TXN00000059,39.34,Restaurant,13,0,0,Mobile,0,0,13.33,0,6,2713,3,33.52,0,14,1.14,0.0,2.0,39.02,0,0
TXN00000060,420.34,Retail,16,3,0,In-Person,1,0,40.38,0,2,2769,67,157.66,1,10,2.649,1.0,1.429,18.32,0,0
TXN00000061,1.65,Retail,3,4,0,Mobile,0,0,11.17,0,10,3321,58,181.31,0,13,0.009,0.0,1.857,18.43,0,0
TXN00000062,576.56,Grocery,17,3,1,Mobile,0,0,11.25,0,7,3458,35,11.7,3,16,45.396,3.0,2.286,29.08,2,0
TXN00000063,120.34,Online,7,5,0,In-Person,1,0,1.61,1,2,2180,86,101.37,3,22,1.176,3.0,3.143,25.45,0,0
TXN00000064,54.63,Gas Station,3,0,0,In-Person,1,0,17.34,0,6,174,3,35.12,1,15,1.512,1.0,2.143,5.46,0,0
TXN00000065,228.67,Entertainment,1,1,1,In-Person,1,1,18.46,0,6,250,90,30.48,1,20,7.263,1.0,2.857,9.82,1,0
TXN00000066,35.46,Entertainment,5,4,1,Desktop,0,1,8.8,0,6,1179,13,143.38,2,10,0.246,2.0,1.429,21.73,0,0
TXN00000067,11.1,Gas Station,21,5,0,Desktop,0,0,27.57,0,9,1998,51,44.33,3,13,0.245,3.0,1.857,1.17,0,0
TXN00000068,32.56,Travel,9,5,0,In-Person,1,0,13.63,0,6,562,7,56.77,2,16,0.564,2.0,2.286,17.37,0,0
TXN00000069,31.17,Online,3,1,0,In-Person,1,1,4.24,1,10,2745,90,144.06,2,18,0.215,2.0,2.571,15.76,0,0
TXN00000070,28.58,Restaurant,21,3,1,In-Person,1,1,29.09,0,4,2856,65,66.68,2,17,0.422,2.0,2.429,10.25,0,0
TXN00000071,81.22,Gas Station,17,5,1,Mobile,0,1,3.56,0,9,3401,50,48.6,2,13,1.637,2.0,1.857,27.11,0,0
TXN00000072,60.92,Travel,11,2,1,Mobile,0,0,18.03,0,9,2483,33,52.16,0,12,1.146,0.0,1.714,1.05,0,0
TXN00000073,75.1,Restaurant,1,1,0,In-Person,1,0,24.3,0,5,599,64,54.86,4,27,1.344,4.0,3.857,0.43,0,0
TXN00000074,475.48,Retail,9,5,0,In-Person,1,0,17.95,0,5,3183,76,27.39,2,13,16.746,2.0,1.857,0.94,0,0
TXN00000075,35.48,Restaurant,3,1,0,In-Person,1,1,10.62,0,9,1962,104,89.92,3,17,0.39,3.0,2.429,6.16,0,0
TXN00000076,450.49,Grocery,13,1,0,Mobile,0,0,15.44,0,6,1747,100,100.37,2,15,4.444,2.0,2.143,16.82,2,0
TXN00000077,372.58,Online,15,4,0,In-Person,1,0,14.88,0,7,1004,84,42.48,3,11,8.57,3.0,1.571,19.0,0,0
TXN00000078,2.46,Restaurant,14,3,1,In-Person,1,1,15.38,0,7,1861,76,51.0,2,17,0.047,2.0,2.429,2.2,1,0
TXN00000079,9.23,Online,7,3,0,Mobile,0,0,83.76,0,7,2983,64,78.61,0,15,0.116,0.0,2.143,0.42,0,0
TXN00000080,8.32,Entertainment,13,4,0,In-Person,1,1,16.33,0,5,1772,31,55.38,4,10,0.148,4.0,1.429,7.56,0,0
TXN00000081,587.05,Gas Station,22,1,0,In-Person,1,1,0.27,0,1,23,98,41.42,1,13,13.838,1.0,1.857,25.89,2,0
TXN00000082,50.9,Retail,7,1,0,In-Person,1,0,26.44,0,6,1106,53,17.7,2,10,2.722,2.0,1.429,5.18,0,0
TXN00000083,28.91,Restaurant,20,2,1,In-Person,1,1,2.73,0,6,3432,13,117.75,1,10,0.243,1.0,1.429,3.16,0,0
TXN00000084,7.97,Travel,15,5,1,In-Person,1,1,15.71,0,6,2933,36,64.67,1,13,0.121,1.0,1.857,43.07,0,0
TXN00000085,252.64,Restaurant,12,1,0,In-Person,1,0,17.13,0,2,1430,109,9.61,4,13,23.815,4.0,1.857,0.64,1,0
TXN00000086,31.37,Restaurant,17,5,1,Tablet,0,0,11.75,0,7,1470,56,102.47,2,6,0.303,2.0,0.857,6.04,0,0
TXN00000087,2.33,Grocery,14,0,0,In-Person,1,0,16.51,0,7,441,102,39.22,0,19,0.058,0.0,2.714,11.69,0,0
TXN00000088,698.1,Online,20,5,1,In-Person,1,0,9.86,0,6,3585,86,19.42,0,19,34.188,0.0,2.714,4.78,0,0
TXN00000089,51.76,Retail,23,1,0,Mobile,0,0,13.36,0,9,1311,79,153.81,2,17,0.334,2.0,2.429,7.18,0,0
TXN00000090,338.83,Entertainment,12,2,1,In-Person,1,0,5.29,0,6,543,114,154.73,2,11,2.176,2.0,1.571,8.33,2,0
TXN00000091,54.53,Restaurant,8,0,1,In-Person,1,0,16.37,0,8,2409,112,27.45,4,14,1.917,4.0,2.0,20.49,0,0
TXN00000092,25.38,Online,14,2,1,Mobile,0,1,35.58,0,6,2640,82,389.66,4,13,0.065,4.0,1.857,15.82,0,0
TXN00000093,53.08,Retail,12,5,0,In-Person,1,0,18.9,0,6,2773,23,63.06,2,10,0.829,2.0,1.429,11.36,0,0
TXN00000094,104.82,Grocery,0,2,1,Mobile,0,0,13.99,0,10,2067,64,11.7,4,12,8.254,4.0,1.714,5.71,0,0
TXN00000095,18.69,Entertainment,6,5,0,In-Person,1,0,12.34,0,6,1229,15,28.03,1,14,0.644,1.0,2.0,11.74,0,0
TXN00000096,3.59,Grocery,8,3,1,Desktop,0,0,25.93,1,10,1229,88,16.79,2,9,0.202,2.0,1.286,2.7,0,0
TXN00000097,1.86,Online,23,5,0,Mobile,0,1,15.85,0,10,2484,80,33.73,1,17,0.054,1.0,2.429,2.69,0,0
TXN00000098,59.25,Entertainment,0,4,1,Desktop,0,0,20.73,0,8,3292,8,40.5,0,12,1.428,0.0,1.714,8.17,0,0
TXN00000099,94.31,Retail,11,2,0,In-Person,1,1,16.62,0,8,443,115,23.47,4,9,3.853,4.0,1.286,11.54,1,0
TXN00000100,42.25,Gas Station,7,1,0,Desktop,0,0,20.72,0,4,2018,27,82.98,4,12,0.503,4.0,1.714,12.06,0,0
TXN00000101,12.39,Restaurant,23,3,0,In-Person,1,0,6.62,0,6,3322,10,114.54,1,16,0.107,1.0,2.286,8.48,0,0
TXN00000102,24.97,Retail,10,6,0,Desktop,0,0,39.14,0,4,434,66,15.4,4,13,1.523,4.0,1.857,16.78,0,0
TXN00000103,60.56,Restaurant,18,0,0,Mobile,0,0,1.34,0,10,3414,20,52.83,4,17,1.125,4.0,2.429,3.62,0,0
TXN00000104,87.13,Online,16,5,1,In-Person,1,0,5.84,0,4,1386,17,167.82,3,14,0.516,3.0,2.0,38.58,2,0
TXN00000105,47.69,Retail,7,4,0,In-Person,1,1,16.62,0,5,2155,26,50.13,3,12,0.933,3.0,1.714,3.5,0,0
TXN00000106,19.5,Restaurant,2,3,0,In-Person,1,0,27.16,0,8,994,11,74.78,2,16,0.257,2.0,2.286,0.98,0,0
TXN00000107,413.14,Restaurant,2,2,1,In-Person,1,0,7.51,0,8,3192,90,98.64,4,17,4.146,4.0,2.429,3.9,0,0
TXN00000108,14.28,Grocery,0,6,1,In-Person,1,0,8.64,0,8,271,45,234.22,3,18,0.061,3.0,2.571,2.84,0,0
TXN00000109,12.54,Entertainment,4,6,0,In-Person,1,1,33.3,0,7,141,118,7.06,1,18,1.555,1.0,2.571,5.13,0,0
TXN00000110,32.17,Retail,9,3,1,In-Person,1,1,14.88,0,6,882,58,43.46,4,11,0.724,4.0,1.571,50.04,0,0
TXN00000111,319.07,Grocery,6,1,1,In-Person,1,0,37.8,0,3,1044,26,14.71,2,17,20.306,2.0,2.429,0.89,0,0
TXN00000112,148.99,Entertainment,8,1,0,Mobile,0,1,10.35,0,1,1759,4,89.85,3,22,1.64,3.0,3.143,28.42,0,0
TXN00000113,50.36,Gas Station,6,1,0,In-Person,1,0,15.94,0,4,2735,119,74.35,2,10,0.668,2.0,1.429,3.45,0,0
TXN00000114,11.24,Restaurant,8,4,0,In-Person,1,1,10.66,0,5,2180,60,64.97,1,16,0.17,1.0,2.286,0.71,0,0
TXN00000115,14.63,Restaurant,7,6,1,In-Person,1,0,21.93,0,5,3194,2,81.92,0,19,0.176,0.0,2.714,7.06,0,0
TXN00000116,35.85,Online,11,3,1,In-Person,1,0,28.89,0,2,597,6,34.43,0,19,1.012,0.0,2.714,1.03,0,0
TXN00000117,28.51,Travel,1,3,0,Mobile,0,1,39.46,0,9,2264,2,68.71,3,10,0.409,3.0,1.429,8.23,0,0
TXN00000118,26.08,Grocery,0,6,0,Mobile,0,1,1.72,0,7,3375,15,62.39,1,17,0.411,1.0,2.429,50.76,0,0
TXN00000119,443.07,Retail,15,2,1,Mobile,0,0,21.93,0,8,1806,107,21.83,0,13,19.405,0.0,1.857,2.49,0,0
TXN00000120,5514.74,Gas Station,22,0,0,In-Person,1,0,12.99,0,7,2766,4,125.79,1,13,43.496,1.0,1.857,13.91,0,0
TXN00000121,17.39,Online,22,1,0,Desktop,0,1,10.03,0,3,822,11,87.81,1,12,0.196,1.0,1.714,4.52,0,0
TXN00000122,147.46,Travel,23,0,0,Desktop,0,0,10.81,0,5,2616,12,10.95,2,11,12.34,2.0,1.571,4.36,0,0
TXN00000123,213.23,Gas Station,4,6,1,Mobile,0,0,36.72,0,8,2575,36,145.51,0,17,1.455,0.0,2.429,0.45,0,0
TXN00000124,24.89,Restaurant,2,6,0,Mobile,0,0,9.49,0,7,1169,90,40.08,1,18,0.606,1.0,2.571,5.68,0,0
TXN00000125,16.91,Gas Station,11,0,1,In-Person,1,1,7.26,0,9,2567,61,72.75,1,16,0.229,1.0,2.286,7.14,0,0
TXN00000126,13.67,Gas Station,7,1,1,In-Person,1,1,13.48,0,9,1910,75,107.82,5,15,0.126,5.0,2.143,2.09,0,0
TXN00000127,126.46,Online,21,1,0,Mobile,0,0,10.05,0,8,1112,33,231.68,5,14,0.543,5.0,2.0,14.92,0,0
TXN00000128,128.1,Retail,2,2,0,In-Person,1,0,12.95,0,6,1248,83,32.09,3,11,3.871,3.0,1.571,23.38,0,0
TXN00000129,282.42,Restaurant,0,4,1,Mobile,0,0,14.4,0,4,994,88,36.33,2,9,7.565,2.0,1.286,37.75,0,1
TXN00000130,1343.44,Retail,2,1,0,Mobile,0,1,21.57,0,7,2621,107,39.38,2,8,33.269,2.0,1.143,18.84,0,0
TXN00000131,122.36,Restaurant,4,0,1,In-Person,1,0,15.74,0,7,409,26,324.46,5,16,0.376,5.0,2.286,1.15,0,0
TXN00000132,64.44,Travel,14,6,0,In-Person,1,0,12.83,0,6,3513,109,76.12,1,11,0.836,1.0,1.571,3.46,0,0
TXN00000133,13.71,Retail,13,2,1,Desktop,0,0,12.68,0,7,2066,59,36.48,6,17,0.366,6.0,2.429,9.38,0,0
TXN00000134,175.76,Online,2,3,1,In-Person,1,0,26.95,1,10,2410,43,68.36,3,8,2.534,3.0,1.143,14.35,0,0
TXN00000135,1.0,Gas Station,0,6,0,Desktop,0,0,11.11,0,5,2668,33,95.21,0,15,0.01,0.0,2.143,1.05,0,0
TXN00000136,29.76,Entertainment,4,2,0,Mobile,0,1,16.31,0,5,2072,6,77.1,1,19,0.381,1.0,2.714,18.89,0,0
TXN00000137,2.47,Entertainment,22,1,0,Mobile,0,0,2.36,0,6,258,35,23.89,3,14,0.099,3.0,2.0,6.82,0,0
TXN00000138,33.42,Grocery,13,6,1,Mobile,0,1,61.56,0,4,982,91,13.76,3,11,2.265,3.0,1.571,3.5,0,0
TXN00000139,183.51,Gas Station,6,5,0,Tablet,0,0,44.31,1,5,2103,78,46.23,3,7,3.886,3.0,1.0,8.35,0,0
TXN00000140,749.73,Grocery,8,1,1,In-Person,1,0,16.21,0,5,556,89,41.52,3,15,17.631,3.0,2.143,0.34,0,0
TXN00000141,1.54,Retail,14,4,0,In-Person,1,0,6.08,0,7,2909,30,32.55,3,10,0.046,3.0,1.429,9.44,0,0
TXN00000142,349.14,Retail,14,2,1,Desktop,0,0,17.82,0,6,587,111,30.16,1,14,11.204,1.0,2.0,13.05,0,0
TXN00000143,36.09,Restaurant,9,1,1,Mobile,0,1,12.32,0,6,1519,45,16.36,3,11,2.08,3.0,1.571,18.9,0,0
TXN00000144,52.4,Entertainment,12,0,0,Desktop,0,0,12.14,0,7,847,43,134.8,1,11,0.386,1.0,1.571,36.33,0,0
TXN00000145,198.57,Retail,18,0,1,In-Person,1,0,28.83,0,8,2454,19,20.84,1,12,9.091,1.0,1.714,10.33,0,0
TXN00000146,44.21,Restaurant,6,2,1,Mobile,0,0,1.83,0,6,183,36,43.41,2,12,0.996,2.0,1.714,5.86,1,0
TXN00000147,17.59,Grocery,16,6,1,In-Person,1,0,15.3,0,7,1724,86,106.23,0,13,0.164,0.0,1.857,2.99,0,0
TXN00000148,23.1,Online,19,4,1,Mobile,0,0,11.84,0,4,318,52,32.56,1,13,0.688,1.0,1.857,2.67,0,0
TXN00000149,15.38,Retail,3,5,1,In-Person,1,0,36.55,0,6,2592,55,168.5,0,11,0.091,0.0,1.571,4.24,0,0
TXN00000150,66.71,Restaurant,4,2,0,In-Person,1,1,14.47,0,10,2168,32,63.47,2,19,1.035,2.0,2.714,9.28,0,0
TXN00000151,361.25,Online,22,4,1,In-Person,1,1,23.25,0,2,1924,15,70.67,4,14,5.041,4.0,2.0,1.62,0,1
TXN00000152,198.23,Retail,6,0,0,In-Person,1,0,14.25,0,4,3026,112,18.02,1,8,10.425,1.0,1.143,13.35,0,0
TXN00000153,62.89,Online,12,1,0,In-Person,1,0,19.15,0,8,3320,33,36.29,4,20,1.687,4.0,2.857,6.69,0,0
TXN00000154,20.33,Grocery,14,3,0,Desktop,0,0,16.31,0,8,122,3,122.71,0,11,0.164,0.0,1.571,14.62,0,0
TXN00000155,86.07,Restaurant,10,1,0,Mobile,0,0,18.18,0,10,858,40,157.15,2,6,0.544,2.0,0.857,81.3,0,0
TXN00000156,814.22,Restaurant,3,0,0,In-Person,1,0,56.81,0,1,309,99,344.8,0,17,2.355,0.0,2.429,8.03,0,0
TXN00000157,13.52,Retail,12,5,1,Mobile,0,1,19.89,0,8,621,49,23.97,1,21,0.541,1.0,3.0,5.91,1,0
TXN00000158,168.27,Retail,6,6,1,Mobile,0,0,67.66,0,7,3556,80,32.13,3,14,5.08,3.0,2.0,8.37,0,0
TXN00000159,103.61,Entertainment,18,0,1,In-Person,1,0,16.7,0,7,884,56,44.42,4,14,2.281,4.0,2.0,6.33,1,0
TXN00000160,18.45,Restaurant,21,1,1,In-Person,1,1,42.17,0,7,3547,61,35.01,1,19,0.512,1.0,2.714,23.97,0,0
TXN00000161,78.53,Retail,1,1,0,Mobile,0,0,2.33,0,7,2706,117,54.94,1,22,1.404,1.0,3.143,42.7,0,0
TXN00000162,29.23,Online,9,5,0,In-Person,1,0,4.54,0,10,842,105,21.36,3,16,1.307,3.0,2.286,14.62,0,0
TXN00000163,14.86,Restaurant,12,5,0,Mobile,0,0,24.79,0,9,3206,72,13.28,2,17,1.04,2.0,2.429,2.03,0,0
TXN00000164,12.66,Retail,20,0,1,Mobile,0,0,18.19,0,10,2229,34,172.83,1,20,0.073,1.0,2.857,4.0,0,0
TXN00000165,18.52,Gas Station,5,1,1,Tablet,0,1,20.04,0,5,3269,52,18.13,1,12,0.968,1.0,1.714,16.59,1,0
TXN00000166,9.43,Retail,11,6,1,Mobile,0,1,12.5,0,6,2972,72,114.58,4,18,0.082,4.0,2.571,10.67,0,0
TXN00000167,1022.58,Retail,11,3,1,In-Person,1,1,14.32,0,7,2471,26,81.17,3,14,12.445,3.0,2.0,3.42,0,0
TXN00000168,13.07,Gas Station,19,3,0,In-Person,1,0,14.51,0,8,2594,78,49.52,2,13,0.259,2.0,1.857,2.76,1,0
TXN00000169,566.92,Retail,10,2,0,In-Person,1,0,16.81,0,4,3210,86,58.38,1,13,9.547,1.0,1.857,8.99,2,0
TXN00000170,96.93,Online,22,3,1,Tablet,0,1,10.88,0,5,1064,89,54.31,3,13,1.753,3.0,1.857,4.72,0,0
TXN00000171,4.18,Travel,6,0,1,In-Person,1,0,19.69,0,5,2759,77,67.76,1,11,0.061,1.0,1.571,0.51,0,0
TXN00000172,15.7,Restaurant,0,0,0,In-Person,1,1,11.71,0,7,1216,114,54.47,1,11,0.283,1.0,1.571,9.3,0,0
TXN00000173,91.22,Entertainment,0,2,0,In-Person,1,1,38.24,0,10,827,74,53.36,4,21,1.678,4.0,3.0,0.12,2,0
TXN00000174,19.99,Restaurant,19,6,1,Desktop,0,0,26.49,0,6,57,19,53.04,2,10,0.37,2.0,1.429,1.52,0,0
TXN00000175,72.89,Grocery,12,4,0,In-Person,1,0,23.45,0,7,2233,76,108.65,0,15,0.665,0.0,2.143,19.27,0,0
TXN00000176,3.32,Retail,8,6,1,Desktop,0,0,7.99,0,6,1104,15,72.41,2,11,0.045,2.0,1.571,5.05,0,0
TXN00000177,59.34,Grocery,2,2,0,In-Person,1,0,26.46,0,8,2442,116,26.71,2,13,2.142,2.0,1.857,28.53,0,0
TXN00000178,45.42,Restaurant,6,4,0,In-Person,1,1,36.62,0,7,1323,57,111.41,1,12,0.404,1.0,1.714,0.42,0,0
TXN00000179,950.09,Online,5,4,1,In-Person,1,1,8.32,0,6,3231,93,19.78,6,18,45.722,6.0,2.571,3.71,0,0
TXN00000180,19.9,Restaurant,7,1,1,In-Person,1,0,19.32,0,7,177,80,19.93,0,15,0.951,0.0,2.143,1.3,2,0
TXN00000181,158.79,Restaurant,8,5,0,Mobile,0,0,4.38,0,4,2275,99,22.02,0,18,6.899,0.0,2.571,29.74,1,0
TXN00000182,384.64,Gas Station,4,3,0,Tablet,0,0,12.72,0,8,494,109,101.12,2,17,3.766,2.0,2.429,15.7,2,0
TXN00000183,276.79,Gas Station,0,6,0,In-Person,1,1,20.57,0,6,227,23,64.46,1,16,4.228,1.0,2.286,3.69,0,0
TXN00000184,305.9,Retail,18,4,0,Desktop,0,0,16.9,0,6,2758,101,8.7,1,13,31.534,1.0,1.857,3.65,0,0
TXN00000185,49.0,Retail,9,1,0,Tablet,0,0,14.52,0,7,749,24,23.95,1,21,1.964,1.0,3.0,21.36,0,0
TXN00000186,104.13,Entertainment,11,2,0,In-Person,1,1,48.48,0,9,175,93,156.84,2,18,0.66,2.0,2.571,0.52,0,0
TXN00000187,22.58,Online,23,2,0,Mobile,0,0,16.55,0,6,57,100,115.83,1,12,0.193,1.0,1.714,5.41,0,0
TXN00000188,132.61,Retail,14,6,0,In-Person,1,1,14.96,0,4,2979,105,19.07,2,13,6.608,2.0,1.857,0.48,0,0
TXN00000189,10.54,Restaurant,21,6,0,In-Person,1,0,8.24,0,7,1569,104,21.52,1,17,0.468,1.0,2.429,8.4,0,0
TXN00000190,16.5,Retail,23,4,1,In-Person,1,0,11.41,0,8,2352,49,27.22,2,19,0.585,2.0,2.714,15.54,0,0
